date,open,high,low,close,volume,symbol,rsi,macd,adx,adp,adm,dri,dlogri,avgtr,donch_hband,donch_lband,vwap,cluster,buy_signal,sell_signal,hold_signal
2022-08-06,23308.31,23346.86,22910.01,22951.2,985.864994,btc,57.5504530426279,625.5048680273649,0.0,26.10910409936394,14.380385335998069,-1.5321145119487456,-1.543972662553017,1063.2021346450238,24668.16,20710.36,22932.2425255417,0.0,1.0,0.0,0.0
2022-08-07,22951.2,23396.97,22850.0,23177.58,890.846902,btc,59.4742800789095,601.2149570841502,0.0,25.127511016700627,14.25221991705211,0.9863536547108698,0.9815209395080515,1026.3284107418078,24668.16,20710.36,22953.021168260522,0.0,1.0,0.0,0.0
2022-08-08,23177.58,24240.6,23159.87,23815.45,2284.475576,btc,64.37367843945276,626.2171640991983,33.19850489468481,29.048418469086428,13.196527121667568,2.7520992269253197,2.7149097611916417,1030.2142385459645,24668.16,20710.36,23111.91656721862,2.0,0.0,0.0,1.0
2022-08-09,23815.45,23926.69,22875.0,23150.39,1956.630895,btc,56.679669955333374,585.616190517263,33.041705993479134,26.95592324994393,14.19711499791308,-2.792556932579482,-2.8322902685694373,1031.748221506967,24668.16,20710.36,23287.714031708998,0.0,1.0,0.0,0.0
2022-08-10,23150.39,24221.92,22664.06,23952.14,3440.139455,btc,62.49873342868534,611.0898871067147,33.14379412458746,26.130866357581574,12.733837630970516,3.4632245936245587,3.404604564096303,1069.327634256469,24668.16,20710.36,23439.048476414388,2.0,0.0,0.0,1.0
2022-08-11,23952.14,24920.0,23857.13,23935.04,3553.309597,btc,62.30649664335547,622.719821618608,33.76964368006632,28.914958207168368,11.837401525277862,-0.07139236828107576,-0.07141786476818623,1068.8663746667212,24920.0,20710.36,23506.626686093805,2.0,0.0,0.0,1.0
2022-08-12,23935.04,24449.69,23589.76,24395.19,1689.441486,btc,65.39137226143202,661.4421939955137,33.897648558286264,27.24388054342087,12.950183320888934,1.9224952203965362,1.9042487682828124,1053.9423479048126,24920.0,20710.36,23490.290515312037,2.0,0.0,0.0,1.0
2022-08-13,24395.19,24880.13,24299.94,24437.66,1464.78086,btc,65.67062954628173,687.6303524789,34.34759699598819,29.13577327360531,12.428295158276043,0.17409169594497786,0.17394033200108794,1020.1028944830404,24920.0,20710.36,23490.114020510595,2.0,0.0,0.0,1.0
2022-08-14,24437.66,25040.0,24150.0,24303.56,1550.748524,btc,63.91688264249749,689.6144612339303,34.88487144847483,28.438378082402625,11.652536798979279,-0.548743210274627,-0.5502543364990231,1010.8098305913946,25040.0,20710.36,23536.660417266357,2.0,0.0,0.0,1.0
2022-08-15,24303.56,25204.62,23772.42,24095.41,2639.302276,btc,61.185535962643854,666.7055497316433,34.71080812285671,25.662431789049332,13.088526650064736,-0.8564588891504021,-0.8601475747793685,1040.909128406295,25204.62,21042.46,23633.814905093284,0.0,1.0,0.0,0.0
2022-08-16,24095.41,24241.85,23678.49,23859.05,1700.267786,btc,58.146957291451855,622.3042595263578,34.383803719603065,24.643431203206088,13.230865421285342,-0.9809337131013729,-0.9857765639782912,1006.7984763772737,25204.62,22404.72,23707.323662087187,0.0,1.0,0.0,0.0
2022-08-17,23859.05,24440.71,23187.51,23335.92,2494.748623,btc,51.992588913886564,538.6939693709173,33.24744901006759,22.502843225076404,15.484705262987983,-2.1925852035181714,-2.2169795906254564,1024.3985852074686,25204.62,22404.72,23749.411006488102,0.0,1.0,0.0,0.0
2022-08-18,23335.92,23594.7,23097.68,23187.3,1689.865001,btc,50.36175525538857,455.1926426751088,32.04547960321044,21.697859749088575,15.57732082948904,-0.636872255304266,-0.6389089386377833,986.728686264078,25204.62,22404.72,23801.95211451485,0.0,1.0,0.0,0.0
2022-08-19,23187.3,23199.37,20785.07,20827.96,5178.872814,btc,32.782295065674546,196.37453608807482,31.284019370952727,18.277522360891794,28.221315805941998,-10.175138976939968,-10.730840018636556,1088.6980658166437,25204.62,20785.07,23494.20447998373,0.0,1.0,0.0,0.0
2022-08-20,20827.96,21370.11,20768.12,21137.82,2911.976528,btc,35.94471343904105,16.07710743910866,30.591305323778908,17.535277139561263,27.189599076897743,1.4877117106044002,1.476753827396493,1053.933203972598,25204.62,20768.12,23297.57741922119,0.0,1.0,0.0,0.0
2022-08-21,21137.82,21783.45,21068.22,21516.52,1931.580462,btc,39.67989895571587,-95.15509002021281,29.401661851123773,19.523667614058795,25.846603166649317,1.791575479401386,1.7757159098803044,1029.7401179745552,25204.62,20768.12,23198.464952518403,0.0,1.0,0.0,0.0
2022-08-22,21516.52,21540.0,20899.33,21399.3,2556.736212,btc,38.92331331258807,-190.56931777300997,28.46259866463986,18.63571206194385,25.870019603319943,-0.5447907003548913,-0.5462800967492853,1001.9493952620869,25204.62,20768.12,23021.811452851747,0.0,1.0,0.0,0.0
2022-08-23,21399.3,21678.55,20895.01,21519.02,2314.974876,btc,40.177894885653025,-253.6020111089856,27.397575337799633,18.581843704049543,24.407935560371353,0.5594575523498513,0.5578984010755406,986.3487241719379,25204.62,20768.12,22896.070192325442,0.0,1.0,0.0,0.0
2022-08-24,21519.02,21897.64,21154.25,21366.01,1822.516966,btc,39.07320528749166,-312.30247442225664,26.099763989003456,19.176353017371298,23.075439926173477,-0.7110453914722981,-0.713585366628422,968.994529588228,25204.62,20768.12,22745.034376098534,0.0,1.0,0.0,0.0
2022-08-25,21366.01,21811.0,21312.51,21563.81,1602.992599,btc,41.31935709649682,-338.9549459705777,24.894653450835573,18.449021345843068,22.200221459056742,0.9257694815269835,0.9215105012430058,935.387063189069,25204.62,20768.12,22516.864352223314,0.0,1.0,0.0,0.0
2022-08-26,21563.81,21868.78,20115.0,20244.11,4770.011922,btc,32.666382478070275,-461.2489912466626,25.036391408867274,16.130936112999002,27.990267846868385,-6.119976015370199,-6.315255952351784,993.8437015327069,25204.62,20115.0,22193.048053420785,0.0,1.0,0.0,0.0
2022-08-27,20244.11,20371.8,19799.0,20043.3,2887.359237,btc,31.582570005598853,-567.8260467621512,25.441507130982018,15.448209552917314,29.140522539930313,-0.9919428416462872,-0.9968953727199192,963.7691514232278,25204.62,19799.0,21927.79978598965,0.0,1.0,0.0,0.0
2022-08-28,20043.3,20158.75,19526.89,19555.66,1754.10149,btc,29.061046500064535,-683.7556937128938,26.04690444833391,14.708667142341,29.807116426886367,-2.432932700702972,-2.463017472186202,940.0613548929972,25204.62,19526.89,21712.36441445075,0.0,1.0,0.0,0.0
2022-08-29,19555.66,20427.41,19553.08,20293.48,2705.206325,btc,37.2272881773619,-707.9342411106227,26.160138143738887,15.77533461804124,27.822313580284725,3.7729230309792694,3.7034893594899643,935.3662581149258,25204.62,19526.89,21399.420030014364,0.0,1.0,0.0,0.0
2022-08-30,20293.48,20574.55,19541.52,19811.52,2888.176734,btc,34.43843224755635,-757.2568723639924,26.019728926864325,15.65568783141121,25.649149046943908,-2.3749499839357258,-2.4036065499927872,942.3422396781453,25204.62,19526.89,21175.25764762195,0.0,1.0,0.0,0.0
2022-08-31,19811.52,20494.03,19801.94,20051.21,2059.097645,btc,36.96745716914991,-768.1496817805746,25.88934893976651,14.820477446167294,24.280800630230125,1.2098516418729943,1.2025914367091772,924.4670797011349,25204.62,19526.89,20949.562651341355,0.0,1.0,0.0,0.0
2022-09-01,20051.21,20203.29,19568.0,20133.28,2278.576658,btc,37.85146051191935,-761.3831970581814,26.024483172560565,14.078039694966233,24.90916361482074,0.4093019822743793,0.4084666203704401,903.8115740081968,25204.62,19526.89,20785.031322226932,0.0,1.0,0.0,0.0
2022-09-02,20133.28,20434.07,19760.0,19955.34,2980.69022,btc,36.65126530471362,-761.5997324231575,25.713121608336547,15.169492337599804,23.56051064243389,-0.883810288239173,-0.8877390570726007,887.4014615790398,25204.62,19526.89,20603.621656118936,0.0,1.0,0.0,0.0
